frame,time_seconds,track_id,class_name,center_x,center_y,plate_text
50,1.00,10,car,115,430,
51,1.02,7,car,316,430,
60,1.20,6,car,520,430,
181,3.62,18,car,917,430,
190,3.80,4,car,701,430,
238,4.76,2,car,324,430,
309,6.18,22,car,506,430,
383,7.66,15,car,111,431,
427,8.54,13,car,332,432,
550,11.00,8,car,681,431,
556,11.12,14,car,488,430,
