frame,time_seconds,track_id,class_name,center_x,center_y,plate_text
31,0.62,7,car,334,420,
40,0.80,10,car,143,420,
44,0.88,6,car,529,420,
166,3.32,18,car,916,420,
167,3.34,4,car,711,420,
215,4.30,2,car,336,420,
292,5.84,22,car,513,420,
365,7.30,15,car,126,420,
399,7.98,13,car,337,420,
523,10.46,8,car,687,420,
541,10.82,14,car,495,420,
571,11.42,12,car,1016,420,
